C1;C2;,3.413837,94.027778,0,15,71,0,22400,68900,44000, ,473200, ,2,2,2
C1;C5;,3.527302,100,0,0,0,0,0,0,6000, ,504000, ,2,0,0
C17;C18;,5.080105,95.902778,0,29,30,0,66900,43000,24000, ,483000, ,2,4,1
C1;C2;,1.501576,99.722222,0,0,4,0,0.000000,5300.000000,342000, ,250600, ,1.000000,0.000000,0.000000
C1;C5;,1.705466,99.375000,0,0,9,0,0.000000,12900.000000,94500, ,439600, ,2.000000,0.000000,0.000000
C17;C18;,2.291656,98.611111,0,20,0,0,53200.000000,0.000000,115000, ,435750, ,2.000000,3.000000,0.000000
C17;C18;,2.706084,98.680556,0,12,7,0,38400.000000,13100.000000,527500, ,134050, ,0.000000,2.000000,0.000000
C1;C2;,1.733205,99.375000,0,0,9,0,0.000000,8200.000000,458500, ,28000, ,0.000000,0.000000,0.000000
C1;C5;,1.660854,99.375000,0,0,9,0,0.000000,12900.000000,681000, ,183050, ,1.000000,0.000000,0.000000
C1;C5;,1.919100,99.444444,0,0,8,0,0.000000,11600.000000,500000, ,270200, ,1.000000,0.000000,0.000000
C1;C2;,1.636159,98.958333,0,6,9,0,12800.000000,8200.000000,326500, ,103950, ,0.000000,1.000000,0.000000
C17;C18;,2.208491,97.708333,0,33,0,0,93300.000000,0.000000,337000, ,323400, ,1.000000,4.000000,0.000000
C17;C18;,3.378935,99.166667,0,9,3,0,34900.000000,9900.000000,420500, ,39550, ,0.000000,1.000000,0.000000
C1;C2;,1.622703,99.305556,0,0,10,0,0.000000,11900.000000,312500, ,281750, ,1.000000,0.000000,0.000000
C1;C5;,2.237742,99.305556,0,0,10,0,0.000000,14200.000000,534000, ,303800, ,1.000000,0.000000,0.000000
C1;C2;,1.403951,100.000000,6,0,0,0,0.000000,0.000000,0, ,501900, ,3.000000,0.000000,0.000000
C17;C18;,2.397176,97.916667,0,21,9,0,56500.000000,15700.000000,456500, ,183050, ,1.000000,3.000000,0.000000
C1;C5;,2.119202,97.638889,0,15,9,10,27800.000000,12900.000000,284000, ,308700, ,1.000000,2.000000,0.000000
C1;C5;,1.579599,100.000000,0,0,0,0,0.000000,0.000000,0, ,504000, ,3.000000,0.000000,0.000000
C17;C18;,2.201256,97.708333,0,33,0,0,92500.000000,0.000000,15500, ,492450, ,2.000000,4.000000,0.000000
C1;C2;,1.509303,99.236111,0,8,3,0,20800.000000,3400.000000,680500, ,28350, ,0.000000,1.000000,0.000000
C1;C2;,1.781468,98.333333,0,24,0,0,29900.000000,0.000000,12000, ,495600, ,2.000000,3.000000,0.000000
C17;C18;,2.169141,95.833333,0,31,29,0,71900.000000,41700.000000,14500, ,482300, ,2.000000,4.000000,1.000000
C1;C5;,1.672899,98.125000,0,0,27,0,0.000000,36300.000000,31000, ,493850, ,2.000000,0.000000,0.000000
C1;C5;,1.560662,91.805556,0,10,108,0,16000.000000,116800.000000,69000, ,459900, ,2.000000,1.000000,4.000000
C1;C2;,1.783559,98.263889,0,0,25,0,0.000000,28400.000000,13500, ,494550, ,2.000000,0.000000,1.000000
C17;C18;,3.104182,97.847222,0,31,0,0,89100.000000,0.000000,9500, ,493150, ,2.000000,4.000000,0.000000
C17;C18;,2.114307,95.625000,0,33,30,0,92500.000000,43000.000000,32500, ,481250, ,2.000000,4.000000,1.000000
C1;C2;,1.462937,97.777778,0,0,32,0,0.000000,36100.000000,12000, ,492100, ,2.000000,0.000000,1.000000
C1;C5;,1.607742,97.638889,0,0,34,0,0.000000,28200.000000,23000, ,491400, ,2.000000,0.000000,1.000000
C1;C5;,1.750126,92.291667,0,0,111,0,0.000000,149100.000000,59500, ,462350, ,2.000000,0.000000,4.000000
C17;C18;,2.122942,91.319444,0,22,103,0,74600.000000,193900.000000,26000, ,458150, ,1.000000,3.000000,3.000000
C1;C2;,1.539278,100.000000,0,0,0,0,0.000000,0.000000,39500, ,504000, ,3.000000,0.000000,0.000000
C1;C2;,1.411808,96.527778,0,0,50,0,0.000000,48800.000000,24000, ,485100, ,2.000000,0.000000,2.000000
C1;C5;,1.629403,96.597222,0,0,49,0,0.000000,54900.000000,31500, ,485450, ,2.000000,0.000000,2.000000
C17;C18;,1.960223,92.777778,0,16,88,0,49600.000000,126400.000000,53000, ,465500, ,2.000000,2.000000,3.000000
C17;C18;,2.036209,96.250000,0,24,30,0,56400.000000,66600.000000,22000, ,484400, ,2.000000,3.000000,1.000000
C1;C5;,1.466361,93.680556,0,0,91,0,0.000000,89000.000000,30000, ,470050, ,2.000000,0.000000,3.000000
C1;C2;,1.699439,96.527778,0,17,33,0,24300.000000,27400.000000,50500, ,485800, ,2.000000,2.000000,1.000000
C1;C2;,1.527733,97.361111,0,14,24,0,21600.000000,27300.000000,21000, ,490000, ,2.000000,2.000000,1.000000
C17;C18;,1.911352,95.555556,0,28,36,0,64800.000000,50800.000000,30000, ,480900, ,2.000000,4.000000,1.000000
C1;C5;,1.607377,100.000000,0,0,0,0,0.000000,0.000000,2000, ,504000, ,2.000000,0.000000,0.000000
C17;C18;,2.848157,89.097222,0,30,127,0,88600.000000,255100.000000,80500, ,447650, ,2.000000,4.000000,4.000000
C1;C5;,1.692789,93.333333,0,0,96,0,0.000000,128400.000000,16500, ,469350, ,2.000000,0.000000,3.000000
C1;C2;,1.925128,96.597222,0,16,33,0,22900.000000,37200.000000,58000, ,486500, ,2.000000,2.000000,1.000000
C1;C2;,1.328594,96.319444,0,0,53,0,0.000000,60100.000000,22500, ,484750, ,2.000000,0.000000,2.000000
C17;C18;,2.180951,88.194444,0,15,155,0,63500.000000,250700.000000,86500, ,442750, ,2.000000,2.000000,5.000000
C1;C5;,1.348971,97.291667,0,7,32,0,13600.000000,42800.000000,26000, ,490000, ,2.000000,1.000000,1.000000
C1;C5;,1.542773,95.833333,0,0,60,0,0.000000,80400.000000,36000, ,482300, ,2.000000,0.000000,2.000000
C1;C2;,1.556812,96.805556,0,14,32,0,21300.000000,26600.000000,24500, ,487550, ,2.000000,2.000000,1.000000
C17;C18;,3.042790,98.680556,0,19,0,0,50300.000000,0.000000,3500, ,497350, ,2.000000,3.000000,0.000000
C1;C5;,1.672980,98.055556,0,0,28,0,0.000000,37600.000000,21000, ,492800, ,2.000000,0.000000,1.000000
C17;C18;,1.932451,95.755045,3,29,32,0,66900.000000,45600.000000,0, ,480200, ,2.000000,4.000000,1.000000
C1;C2;,1.267096,97.986111,0,0,29,0,0.000000,32800.000000,46500, ,491750, ,3.000000,0.000000,1.000000
C1;C5;,1.451960,97.152778,0,7,27,7,13600.000000,36300.000000,25500, ,487550, ,2.000000,1.000000,1.000000
C1;C2;,1.501944,95.208333,0,16,53,0,23200.000000,53300.000000,37500, ,477750, ,2.000000,2.000000,2.000000
C17;C18;,1.988151,92.500000,0,23,85,0,57900.000000,142100.000000,62000, ,459200, ,2.000000,3.000000,3.000000
C1;C5;,1.460537,98.819444,0,17,0,0,33300.000000,0.000000,13500, ,498050, ,2.000000,2.000000,0.000000
C17;C18;,1.685541,98.472222,0,22,0,0,53000.000000,0.000000,5000, ,496300, ,2.000000,3.000000,0.000000
C1;C2;,1.309419,91.805556,0,0,118,0,0.000000,106700.000000,65500, ,458850, ,2.000000,0.000000,4.000000
C1;C5;,1.517777,96.111111,0,0,56,0,0.000000,75200.000000,35000, ,480900, ,2.000000,0.000000,2.000000
C17;C18;,1.983195,98.472222,0,22,0,0,52200.000000,0.000000,8000, ,496300, ,2.000000,3.000000,0.000000
C1;C2;,1.406160,97.152778,0,15,26,0,22100.000000,29500.000000,24500, ,487550, ,2.000000,2.000000,1.000000
C17;C18;,3.253981,94.861111,0,49,25,0,118900.000000,56100.000000,14000, ,476700, ,2.000000,6.000000,1.000000
C1;C2;,1.668119,96.180556,0,0,55,0,0.000000,53400.000000,32500, ,481950, ,2.000000,0.000000,2.000000
C1;C5;,2.620317,97.986111,0,0,29,0,0.000000,24200.000000,40000, ,492800, ,2.000000,0.000000,1.000000
C1;C5;,1.477095,97.777778,0,11,21,0,16800.000000,28500.000000,24000, ,491400, ,2.000000,1.000000,1.000000
C17;C18;,2.113581,98.402778,0,23,0,0,57100.000000,0.000000,8500, ,495950, ,2.000000,3.000000,0.000000
C1;C2;,1.477190,99.513889,0,7,0,0,19700.000000,0.000000,500, ,501550, ,2.000000,1.000000,0.000000
C1;C5;,1.437629,97.569444,0,0,35,0,0.000000,29000.000000,24000, ,490700, ,2.000000,0.000000,1.000000
C17;C18;,2.122969,95.555556,0,33,31,0,107300.000000,44300.000000,34000, ,480200, ,2.000000,5.000000,1.000000
C1;C2;,1.483887,97.916667,0,0,30,0,0.000000,33900.000000,13000, ,491400, ,2.000000,0.000000,1.000000
