1,120327.100000
2,119102.200000
3,104481.400000
4,102460.000000
5,88052.100000
6,88052.100000
7,88052.100000
8,88052.100000
9,88052.100000
10,88052.100000
11,84306.200000
12,84306.200000
13,84306.200000
14,78486.900000
15,78486.900000
16,78486.900000
17,78486.900000
18,78486.900000
19,78486.900000
20,78486.900000
21,76639.500000
22,76639.500000
23,76639.500000
24,70165.700000
25,70165.700000
26,70165.700000
27,70146.300000
28,70146.300000
29,70146.300000
30,70146.300000
31,70146.300000
32,70146.300000
33,68904.600000
34,68904.600000
35,68904.600000
36,68904.600000
37,68904.600000
38,68904.600000
39,68904.600000
40,68904.600000
41,68904.600000
42,68904.600000
43,68904.600000
44,68904.600000
45,68904.600000
46,68904.600000
47,68904.600000
48,68904.600000
49,68904.600000
50,68904.600000
51,68904.600000
52,68904.600000
53,68904.600000
54,68904.600000
55,68904.600000
56,68904.600000
57,68904.600000
58,68904.600000
59,68904.600000
60,68904.600000
61,68904.600000
62,68904.600000
63,68904.600000
64,68904.600000
65,68904.600000
66,68904.600000
67,68904.600000
68,68904.600000
69,68904.600000
70,68570.200000
71,68570.200000
72,68570.200000
73,68570.200000
74,68570.200000
75,68570.200000
76,68570.200000
77,68570.200000
78,68570.200000
79,68570.200000
80,68570.200000
81,68570.200000
82,68570.200000
83,68570.200000
84,68570.200000
85,68570.200000
86,68570.200000
87,68570.200000
88,68570.200000
89,68570.200000
90,68570.200000
91,68570.200000
92,68570.200000
93,68570.200000
94,68064.000000
95,68064.000000
96,68064.000000
97,68064.000000
98,68064.000000
99,68064.000000
100,68064.000000
