20,112265.800000,135.002632
21,112293.414286,163.130084
22,112290.236364,117.696796
23,112330.534783,146.675317
24,112317.500000,98.033459
25,112240.068000,108.930795
26,112294.807692,115.851857
27,112251.574074,129.208218
28,112319.110714,130.435891
29,112239.072414,155.625457
30,112195.860000,131.344996
31,112316.283871,109.462709
32,112324.568750,156.669612
33,112284.539394,148.013779
34,112304.297059,110.371056
35,112257.317143,135.383706
36,112252.469444,137.915520
37,112263.456757,120.090671
38,112311.584211,107.752859
39,112274.728205,98.422189
40,112303.530000,104.245069
41,112299.846341,153.310302
42,112285.288095,123.121438
43,112282.646512,122.693857
44,112252.818182,120.793014
45,112273.351111,140.366712
46,112322.771739,146.470153
47,112280.946809,113.105264
48,112289.481250,124.909151
49,112260.410204,126.730959
50,112276.650000,131.444069
51,112302.550980,95.743922
52,112261.690385,111.769278
53,112279.098113,108.847336
54,112324.320370,117.231402
55,112267.172727,131.354625
56,112261.403571,128.445437
57,112273.898246,92.761535
58,112291.436207,127.075772
59,112295.496610,112.968097
60,112282.415000,122.505140
61,112290.514754,127.765272
62,112281.608065,132.647389
63,112286.752381,130.164898
64,112298.837500,111.934290
65,112277.075385,146.310588
66,112288.651515,132.859308
67,112307.907463,111.719829
68,112276.177941,125.969022
69,112273.497101,118.653834
70,112268.342857,113.038809
71,112268.246479,132.056570
72,112331.209722,102.488995
73,112284.965753,127.687533
74,112306.777027,134.163980
75,112301.293333,115.513306
76,112282.305263,122.724782
77,112265.051948,144.493038
78,112277.955128,111.251980
79,112267.346835,130.058826
80,112295.343750,127.729580
81,112303.013580,118.196980
82,112273.793902,133.704169
83,112270.916867,137.170385
84,112288.892857,140.934215
85,112280.630588,132.777462
86,112283.963953,118.882890
87,112291.243678,126.018417
88,112287.793182,127.596052
89,112270.439326,123.167492
90,112272.837778,107.768486
91,112292.217582,129.254170
92,112272.695652,134.351972
93,112299.577419,127.619860
94,112281.988298,119.189102
95,112282.402105,120.986823
96,112298.456250,128.979864
97,112275.638144,128.402094
98,112285.888776,136.804876
99,112291.966667,144.040907
