100,22691.306000,243.182578
150,22742.274667,257.144812
200,22709.329500,258.683668
250,22752.117200,244.214846
300,22724.549000,242.734051
350,22719.268857,242.675245
400,22702.796250,261.419912
450,22709.406000,259.038222
500,22694.472800,261.781448
550,22740.738000,260.871914
600,22730.454333,245.438289
650,22731.045692,253.887767
700,22725.234714,265.058558
750,22708.942800,261.723163
800,22723.276000,251.737506
850,22702.643765,252.043161
900,22728.201444,253.560237
950,22713.319789,251.592963
