Simulation Count,Average Cost,Error,Percent Error,,
151000,25510.604636,2.7919617362,0.0109443182,,
152000,25482.307895,31.0887027362,0.1220011267,,
153000,25511.924183,1.4724147362,0.0057714766,,
154000,25507.467532,5.9290657362,0.0232444312,,
155000,25489.723226,23.6733717362,0.0928741812,,
156000,25482.667308,30.7292897362,0.1205889845,,
157000,25448.698726,64.6978717362,0.2542286049,,
158000,25546.196835,32.8002372638,0.1283957744,,
159000,25513.411321,0.0147232638,5.77079388394822E-05,,
160000,25531.694375,18.2977772638,0.0716669133,,
161000,25541.338509,27.9419112638,0.1093987743,,
162000,25511.099383,2.2972147362,0.0090047657,,
163000,25510.13865,3.2579477362,0.0127711879,,
164000,25496.932317,16.4642807362,0.0645735751,,
165000,25493.652727,19.7438707362,0.0774462214,,
166000,25531.989759,18.5931612638,0.0728230014,,
167000,25524.133533,10.7369352638,0.0420658168,,
168000,25506.207143,7.1894547362,0.0281870789,,
169000,25493.231361,20.1652367362,0.0791003559,,
170000,25536.291176,22.8945782638,0.0896550643,,
171000,25527.478947,14.0823492638,0.0551654525,,
172000,25536.495349,23.0987512638,0.0904538816,,
173000,25545.793064,32.3964662638,0.1268172265,,
174000,25513.737356,0.3407582638,0.0013355874,,
175000,25568.764571,55.3679732638,0.2165453599,,
176000,25513.664205,0.2676072638,0.0010488782,,
177000,25533.075141,19.6785432638,0.0770707921,,
178000,25503.819101,9.5774967362,0.0375531864,,
179000,25504.475419,8.9211787362,0.0349788756,,
180000,25527.562778,14.1661802638,0.0554936654,,
181000,25514.929834,1.5332362638,0.006009173,,
182000,25509.418681,3.9779167362,0.0155939137,,
183000,25513.361749,0.0348487362,0.0001365901,,
184000,25501.404348,11.9922497362,0.0470258405,,
185000,25430.52,82.8765977362,0.3258942316,,
186000,25547.911828,34.5152302638,0.1351000054,,
187000,25516.837968,3.4413702638,0.0134866642,,
188000,25455.124468,58.2721297362,0.2289210167,,
189000,25548.762434,35.3658362638,0.1384248507,,
190000,25507.942632,5.4539657362,0.0213814411,,
191000,25503.656545,9.7400527362,0.0381908089,,
192000,25491.592708,21.8038897362,0.0855336502,,
193000,25518.757513,5.3609152638,0.0210077441,,
194000,25541.409278,28.0126802638,0.1096755467,,
195000,25509.972308,3.4242897362,0.0134233377,,
196000,25515.287245,1.8906472638,0.0074098608,,
197000,25500.451777,12.9448207362,0.0507631035,,
198000,25522.517677,9.1210792638,0.0357373805,,
