100,112283.337000,124.139631
150,112289.865333,124.187297
200,112278.729500,110.747396
250,112289.060800,128.111869
300,112274.913667,119.392384
350,112282.308000,124.401051
400,112282.675250,125.933379
450,112272.942667,124.184641
500,112282.455600,133.811606
550,112281.091455,125.107588
600,112283.948833,126.254065
650,112279.348308,125.307974
700,112275.064286,127.583712
750,112273.084533,123.069653
800,112288.697375,122.527408
850,112284.324706,129.774545
900,112280.045556,126.119907
950,112284.650105,120.995162
1000,112283.370500,122.378377
